"LV.type","numberOfLaunches","numberOfFailures"
"223",4,0
"224",3,2
"225",8,1
"226",2,0
"227",6,4
"228",6,0
"229",10,9
"230",4,2
"231",12,9
"232",7,0
"233",7,5
"234",12,4
"235",12,11
"236",11,5
"237",7,1
"238",2,0
"239",11,9
"240",1,0
"241",2,0
"242",5,2
"243",5,0
"244",4,0
"245",6,5
"246",12,6
"247",7,6
"248",5,2
"249",1,0
"250",6,4
"251",11,2
"252",2,1
"253",12,4
"254",9,0
"255",12,5
"256",5,0
"257",5,2
"258",2,1
"259",2,1
"260",7,0
"261",4,1
"262",12,4
"263",6,0
"264",6,4
"265",10,4
"266",11,8
"267",11,5
"268",6,5
"269",4,1
"270",9,7
"271",8,1
"272",5,0
"273",7,5
"274",2,0
"275",7,1
"276",6,2
"277",6,1
"278",5,2
"279",6,5
"280",3,2
"281",9,4
"282",10,0
"283",12,9
"284",6,5
"285",11,7
"286",1,0
"287",2,1
"288",5,4
"289",9,1
"290",10,9
"291",3,2
"292",3,0
"293",1,0
"294",10,1
"295",3,2
"296",3,1
"297",1,0
"298",4,2
"299",12,1
"300",10,0
"301",12,10
"302",4,1
"303",12,2
"304",12,2
"305",5,0
"306",9,1
"307",9,2
"308",4,3
"309",8,7
"310",12,4
"311",1,0
"312",6,0
"313",12,1
"314",7,4
"315",5,3
"316",1,0
"317",5,2
"318",6,2
"319",1,0
"320",3,0
"321",10,5
"322",2,0
"323",12,6
"324",12,9
"325",11,6
"326",2,1
"327",4,3
"328",1,0
"329",7,3
"330",9,1
"331",1,0
"332",5,3
"333",2,0
"334",4,0
"335",2,0
"336",12,3
"337",6,5
"338",3,2
"339",8,4
"340",4,1
"341",8,7
"342",6,1
"343",8,4
"344",12,3
"345",1,0
"346",7,3
"347",7,4
"348",6,1
"349",4,1
"350",10,8
"351",1,0
"352",3,1
"353",8,3
"354",12,0
"355",5,3
"356",2,1
"357",10,2
"358",10,2
"359",1,0
"360",1,0
"361",3,2
"362",1,0
"363",8,1
"364",11,4
"365",4,3
"366",11,1
"367",4,1
"368",8,4
"369",12,11
"370",10,6
"371",8,6
"372",12,4
"373",10,4
"374",10,3
"375",12,4
"376",11,2
"377",5,0
"378",3,2
"379",4,1
"380",8,6
"381",9,8
"382",3,1
"383",3,0
"384",8,7
"385",7,5
"386",9,0
"387",3,1
"388",1,0
"389",6,3
"390",2,0
"391",11,5
"392",9,0
"393",12,7
"394",9,4
"395",4,0
"396",12,11
"397",9,5
"398",9,6
"399",8,2
"400",5,0
"401",11,2
"402",2,0
"403",8,6
"404",8,2
"405",4,0
"406",6,2
"407",5,1
"408",6,1
"409",2,1
"410",4,2
"411",12,1
"412",4,3
"413",6,5
"414",11,3
"415",8,3
"416",2,1
"417",7,2
"418",1,0
"419",6,1
"420",1,0
"421",10,0
"422",1,0
"423",1,0
"424",4,0
"425",4,3
"426",1,0
"427",10,5
"428",8,3
"429",12,5
"430",9,7
"431",9,0
"432",11,2
"433",12,11
"434",10,7
"435",2,0
"436",6,1
"437",2,1
"438",9,8
"439",9,8
"440",2,1
"441",8,6
"442",2,0
"443",8,1
"444",7,2
"445",2,0
"446",4,3
"447",3,2
"448",2,0
"449",11,8
"450",8,0
"451",5,0
"452",12,9
"453",9,2
"454",9,0
"455",11,7
"456",11,0
"457",7,5
"458",5,3
"459",7,6
"460",4,3
"461",7,3
"462",2,1
"463",6,2
"464",12,8
"465",5,0
"466",10,4
"467",3,0
"468",10,0
"469",4,1
"470",4,0
"471",4,1
"472",4,3
"473",6,4
"474",4,2
"475",9,6
"476",8,0
"477",5,3
"478",6,4
"479",12,11
"480",6,1
"481",10,2
"482",10,9
"483",11,8
"484",1,0
"485",4,1
"486",2,1
"487",1,0
"488",12,9
"489",6,3
"490",9,4
"491",7,5
"492",8,5
"493",4,3
"494",10,1
"495",7,4
"496",11,2
"497",1,0
"498",5,3
"499",2,1
"500",4,0
"501",2,1
"502",11,1
"503",3,2
"504",12,6
"505",3,1
"506",6,1
"507",6,3
"508",4,0
"509",8,3
"510",12,9
"511",4,2
"512",11,3
"513",6,0
"514",8,2
"515",7,0
"516",9,5
"517",12,8
"518",2,1
"519",4,0
"520",5,1
"521",12,2
"522",1,0
"523",11,8
"524",11,7
"525",6,5
"526",8,7
"527",4,3
"528",4,0
"529",8,3
"530",1,0
"531",1,0
"532",8,2
"533",8,5
"534",5,2
"535",11,10
"536",1,0
"537",6,3
"538",11,5
"539",4,2
"540",8,2
"541",7,6
"542",1,0
"543",6,2
"544",10,0
"545",8,2
"546",11,2
"547",9,1
"548",8,2
"549",1,0
"550",5,3
"551",12,4
"552",5,0
"553",8,2
"554",7,1
"555",11,7
"556",9,2
"557",7,6
"558",5,0
"559",6,2
"560",3,1
"561",5,3
"562",1,0
"563",10,4
"564",4,0
"565",5,1
"566",11,3
"567",3,1
"568",5,3
"569",1,0
"570",5,1
"571",11,5
"572",4,1
"573",6,1
"574",2,0
"575",1,0
"576",6,4
"577",5,1
"578",9,3
"579",6,5
"580",8,3
"581",6,4
"582",5,3
"583",10,1
"584",9,7
"585",10,2
"586",2,1
"587",5,0
"588",11,1
"589",10,1
"590",10,2
"591",4,3
"592",5,3
"593",7,6
"594",2,0
"595",9,5
"596",12,4
"597",3,1
"598",6,0
"599",10,0
"600",5,2
"601",10,1
"602",6,5
"603",11,6
"604",9,7
"605",12,8
"606",10,2
"607",1,0
"608",8,2
"609",9,5
"610",2,0
"611",1,0
"612",9,7
"613",11,7
"614",1,0
"615",7,5
"616",1,0
"617",10,1
"618",5,2
"619",9,5
"620",8,0
"621",8,7
"622",1,0
"623",12,1
"624",9,1
"625",5,2
"626",7,2
"627",3,2
"628",4,3
"629",6,4
"630",6,3
"631",12,8
"632",8,5
"633",11,2
"634",11,4
"635",6,2
"636",6,2
"637",1,0
"638",3,1
"639",8,3
"640",9,2
"641",4,3
"642",8,2
"643",3,1
"644",2,0
"645",12,10
"646",12,7
"647",8,1
"648",2,1
"649",3,1
"650",6,5
"651",6,5
"652",11,7
"653",9,8
"654",12,6
"655",7,6
"656",8,7
"657",10,3
"658",12,7
"659",9,5
"660",9,4
"661",11,5
"662",2,0
"663",11,3
"664",4,1
"665",7,1
"666",12,11
"667",4,3
"668",1,0
"669",1,0
"670",12,8
"671",5,2
"672",4,0
"673",7,4
"674",11,6
"675",8,6
"676",10,2
"677",11,10
"678",11,10
"679",1,0
"680",7,3
"681",2,0
"682",4,1
"683",2,0
"684",10,1
"685",4,0
"686",8,1
"687",12,4
"688",9,7
"689",11,5
"690",9,2
"691",9,6
"692",1,0
"693",9,0
"694",12,9
"695",9,3
"696",10,3
"697",3,1
"698",3,2
"699",12,5
"700",6,0
"701",9,3
"702",1,0
"703",7,3
"704",11,6
"705",1,0
"706",11,2
"707",1,0
"708",5,3
"709",4,1
"710",11,8
"711",3,2
"712",9,0
"713",7,6
"714",4,1
"715",10,0
"716",10,6
"717",11,1
"718",1,0
"719",10,1
"720",1,0
"721",8,2
"722",4,2
"723",12,9
"724",2,0
"725",1,0
"726",1,0
"727",1,0
"728",1,0
"729",1,0
"730",12,2
"731",4,2
"732",11,3
"733",11,5
"734",12,5
"735",3,1
"736",11,8
"737",2,0
"738",6,0
"739",11,1
"740",8,7
"741",2,0
"742",7,6
"743",2,1
"744",6,1
"745",2,1
"746",7,4
"747",1,0
"748",12,10
"749",11,7
"750",2,0
"751",5,3
"752",3,2
"753",8,3
"754",5,2
"755",3,1
"756",2,1
"757",12,9
"758",4,1
"759",11,7
"760",5,0
"761",4,2
"762",1,0
"763",5,2
"764",10,3
"765",7,3
"766",5,3
"767",11,10
"768",2,1
"769",5,1
"770",1,0
"771",11,6
"772",8,0
"773",9,4
"774",7,0
"775",6,1
"776",5,1
"777",7,5
"778",2,0
"779",1,0
"780",2,1
"781",12,11
"782",4,1
"783",11,7
"784",12,10
"785",10,4
"786",2,0
"787",5,4
"788",2,0
"789",6,0
"790",6,2
"791",12,5
"792",1,0
"793",5,3
"794",6,3
"795",2,0
"796",1,0
"797",6,3
"798",3,0
"799",5,3
"800",9,5
"801",9,1
"802",3,2
"803",8,2
"804",1,0
"805",4,1
"806",1,0
"807",8,4
"808",11,10
"809",1,0
"810",6,2
"811",2,1
"812",7,3
"813",5,4
"814",11,6
"815",9,6
"816",3,1
"817",3,2
"818",10,7
"819",8,0
"820",10,5
"821",7,1
"822",9,8
"823",5,3
"824",2,1
"825",3,2
"826",8,2
"827",12,8
"828",1,0
"829",10,1
"830",1,0
"831",4,1
"832",11,2
"833",10,6
"834",7,5
"835",10,8
"836",5,2
"837",9,7
"838",2,0
"839",10,6
"840",2,0
"841",10,8
"842",12,8
"843",7,2
"844",5,3
"845",2,1
"846",7,1
"847",10,3
"848",8,6
"849",7,4
"850",11,5
"851",11,7
"852",5,3
"853",6,1
"854",11,0
"855",9,7
"856",5,1
"857",5,0
"858",9,1
"859",5,4
"860",7,4
"861",9,5
"862",4,3
"863",8,2
"864",7,3
"865",1,0
"866",7,1
"867",5,0
"868",8,0
"869",1,0
"870",8,5
"871",3,0
"872",11,5
"873",1,0
"874",9,4
"875",7,2
"876",5,2
"877",12,0
"878",10,4
"879",2,1
"880",3,1
"881",6,1
"882",8,5
"883",4,3
"884",10,2
"885",2,0
"886",7,0
"887",12,2
"888",11,8
"889",12,3
"890",1,0
"891",12,2
"892",5,2
"893",10,4
"894",7,1
"895",5,3
"896",6,1
"897",2,0
"898",9,8
"899",4,3
"900",1,0
"901",2,1
"902",9,1
"903",3,0
"904",8,3
"905",2,1
"906",12,0
"907",8,4
"908",10,8
"909",4,3
"910",4,1
"911",11,4
"912",11,10
"913",6,1
"914",7,4
"915",1,0
"916",1,0
"917",3,0
"918",10,3
"919",12,4
"920",11,4
"921",10,7
"922",5,2
"923",5,4
"924",3,1
"925",7,0
"926",7,4
"927",1,0
"928",10,0
"929",5,2
"930",4,0
"931",10,9
"932",8,7
"933",4,2
"934",2,1
"935",6,0
"936",7,0
"937",12,0
"938",11,1
"939",3,0
"940",1,0
"941",9,8
"942",7,0
"943",5,2
"944",10,9
"945",4,3
"946",1,0
"947",12,2
"948",8,3
"949",4,1
"950",7,3
"951",6,4
"952",3,1
"953",8,0
"954",8,2
"955",10,3
"956",9,3
"957",2,1
"958",8,1
"959",4,0
"960",3,2
"961",4,2
"962",7,3
"963",4,2
"964",12,8
"965",3,0
"966",8,3
"967",8,6
"968",10,0
"969",2,1
"970",11,5
"971",9,5
"972",7,5
"973",11,3
"974",3,2
"975",10,6
"976",1,0
"977",5,4
"978",9,6
"979",6,0
"980",1,0
"981",11,6
"982",1,0
"983",3,0
"984",7,0
"985",12,4
"986",9,8
"987",11,4
"988",1,0
"989",6,0
"990",9,0
"991",1,0
"992",6,0
"993",11,4
"994",5,4
"995",11,9
"996",10,7
"997",12,10
"998",3,2
"999",4,2
"1000",1,0
"1001",3,1
"1002",10,3
"1003",4,1
"1004",10,2
"1005",11,7
"1006",3,0
"1007",9,5
"1008",9,4
"1009",6,5
"1010",10,3
"1011",3,2
"1012",7,2
"1013",4,1
"1014",2,1
"1015",1,0
"1016",5,0
"1017",12,0
"1018",9,3
"1019",10,5
"1020",8,2
"1021",8,5
"1022",3,2
"1023",4,2
"1024",1,0
"1025",6,5
"1026",8,7
"1027",10,8
"1028",10,2
"1029",6,0
"1030",3,0
"1031",10,5
"1032",7,2
"1033",2,1
"1034",12,11
"1035",2,1
"1036",3,1
"1037",2,0
"1038",1,0
"1039",12,1
"1040",10,5
"1041",6,4
"1042",7,2
"1043",4,2
"1044",9,2
"1045",9,2
"1046",8,5
"1047",6,2
"1048",2,1
"1049",11,7
"1050",3,1
"1051",7,2
"1052",8,1
"1053",6,3
"1054",7,1
"1055",4,3
"1056",10,8
"1057",12,6
"1058",4,0
"1059",12,4
"1060",8,1
"1061",2,1
"1062",8,2
"1063",7,3
"1064",4,3
"1065",2,0
"1066",11,3
"1067",4,1
"1068",6,0
"1069",8,7
"1070",2,1
"1071",9,3
"1072",9,2
"1073",7,1
"1074",6,1
"1075",3,0
"1076",5,0
"1077",8,6
"1078",3,0
"1079",6,1
"1080",11,0
"1081",10,6
"1082",1,0
"1083",9,0
"1084",9,6
"1085",11,0
"1086",9,2
"1087",1,0
"1088",8,7
"1089",12,0
"1090",9,8
"1091",12,9
"1092",8,6
"1093",9,1
"1094",9,5
"1095",12,3
"1096",12,5
"1097",8,3
"1098",6,0
"1099",7,2
"1100",2,0
"1101",8,5
"1102",9,3
"1103",8,2
"1104",4,2
"1105",10,5
"1106",3,0
"1107",4,2
"1108",4,3
"1109",10,5
"1110",10,7
"1111",6,0
"1112",4,0
"1113",10,2
"1114",11,2
"1115",6,3
"1116",11,0
"1117",10,2
"1118",12,0
"1119",6,5
"1120",12,4
"1121",12,5
"1122",1,0
"1123",12,11
"1124",6,3
"1125",4,1
"1126",5,3
"1127",10,9
"1128",2,1
"1129",9,0
"1130",2,0
"1131",8,2
"1132",7,1
"1133",8,2
"1134",10,4
"1135",3,0
"1136",6,2
"1137",11,1
"1138",10,7
"1139",4,2
"1140",5,3
"1141",5,4
"1142",3,2
"1143",9,8
"1144",2,1
"1145",1,0
"1146",9,6
"1147",1,0
"1148",10,6
"1149",12,0
"1150",1,0
"1151",12,8
"1152",8,5
"1153",2,0
"1154",12,3
"1155",10,7
"1156",4,1
"1157",1,0
"1158",6,5
"1159",10,2
"1160",8,0
"1161",12,0
"1162",1,0
"1163",3,2
"1164",1,0
"1165",10,1
"1166",4,2
"1167",12,4
"1168",5,0
"1169",5,1
"1170",9,6
"1171",7,2
"1172",8,5
"1173",1,0
"1174",11,3
"1175",4,2
"1176",3,2
"1177",2,0
"1178",9,2
"1179",8,3
"1180",4,0
"1181",10,8
"1182",6,5
"1183",5,2
"1184",3,0
"1185",3,0
"1186",1,0
"1187",8,4
"1188",3,2
"1189",3,0
"1190",4,1
"1191",7,2
"1192",10,1
"1193",6,4
"1194",2,1
"1195",11,1
"1196",12,7
"1197",10,1
"1198",10,3
"1199",8,6
"1200",10,6
"1201",2,0
"1202",3,1
"1203",11,8
"1204",10,1
"1205",9,4
"1206",3,0
"1207",6,3
"1208",12,3
"1209",9,3
"1210",3,2
"1211",6,5
"1212",3,2
"1213",6,4
"1214",10,8
"1215",9,7
"1216",12,7
"1217",11,7
"1218",8,0
"1219",2,1
"1220",5,2
"1221",11,0
"1222",8,1
"1223",2,1
"1224",3,1
"1225",6,5
"1226",7,0
"1227",5,3
"1228",5,4
"1229",3,1
"1230",5,2
"1231",12,11
"1232",6,4
"1233",9,0
"1234",6,3
"1235",2,1
"1236",1,0
"1237",6,2
"1238",7,6
"1239",8,1
"1240",4,0
"1241",8,6
"1242",4,0
"1243",3,2
"1244",10,6
"1245",3,2
"1246",3,2
"1247",7,1
"1248",3,0
"1249",10,6
"1250",1,0
"1251",6,3
"1252",12,10
"1253",11,5
"1254",11,3
"1255",11,8
"1256",2,0
"1257",5,2
"1258",12,3
"1259",8,7
"1260",7,2
"1261",10,1
"1262",12,8
"1263",2,1
"1264",12,1
"1265",11,9
"1266",9,0
"1267",8,3
"1268",8,3
"1269",12,8
"1270",4,0
"1271",12,5
"1272",11,1
"1273",12,9
"1274",5,1
"1275",5,2
"1276",4,3
"1277",1,0
"1278",10,8
"1279",8,0
"1280",4,0
"1281",5,0
"1282",11,6
"1283",11,4
"1284",1,0
"1285",2,1
"1286",8,1
"1287",3,1
"1288",1,0
"1289",7,0
"1290",3,0
"1291",1,0
"1292",12,5
"1293",10,0
"1294",5,1
"1295",12,8
"1296",1,0
"1297",9,7
"1298",2,0
"1299",1,0
"1300",4,2
"1301",5,3
"1302",5,2
"1303",1,0
"1304",11,4
"1305",12,2
"1306",11,0
"1307",11,4
"1308",12,8
"1309",5,3
"1310",12,0
"1311",2,1
"1312",2,1
"1313",7,2
"1314",10,1
"1315",1,0
"1316",10,6
"1317",10,5
"1318",10,9
"1319",9,5
"1320",11,1
"1321",10,6
"1322",7,4
"1323",6,1
"1324",6,1
"1325",4,2
"1326",8,2
"1327",12,3
"1328",12,7
"1329",5,4
"1330",10,5
"1331",11,2
"1332",11,1
"1333",5,4
"1334",3,1
"1335",8,4
"1336",1,0
"1337",6,5
"1338",7,3
"1339",8,1
"1340",9,8
"1341",7,3
"1342",2,1
"1343",8,6
"1344",10,4
"1345",10,5
"1346",7,1
"1347",7,1
"1348",5,0
"1349",4,3
"1350",5,2
"1351",7,6
"1352",4,1
"1353",9,8
"1354",2,1
"1355",12,11
"1356",10,5
"1357",4,0
"1358",6,4
"1359",5,0
"1360",11,4
"1361",2,1
"1362",2,0
"1363",2,0
"1364",6,1
"1365",3,0
"1366",9,5
"1367",1,0
"1368",6,3
"1369",3,0
"1370",6,2
"1371",9,1
"1372",9,8
"1373",12,6
"1374",5,0
"1375",1,0
"1376",12,11
"1377",9,5
"1378",10,4
"1379",8,3
"1380",4,0
"1381",11,4
"1382",6,3
"1383",10,4
"1384",1,0
"1385",8,5
"1386",7,5
"1387",1,0
"1388",5,2
"1389",12,9
"1390",11,9
"1391",12,6
"1392",7,3
"1393",9,2
"1394",3,0
"1395",8,3
"1396",9,6
"1397",8,3
"1398",10,8
"1399",7,1
"1400",10,1
"1401",12,9
"1402",4,2
"1403",6,4
"1404",4,1
"1405",6,2
"1406",12,8
"1407",10,7
"1408",4,0
"1409",8,5
"1410",6,5
"1411",5,4
"1412",10,3
"1413",9,6
"1414",8,6
"1415",7,4
"1416",7,5
"1417",10,7
"1418",9,8
"1419",7,5
"1420",4,0
"1421",7,0
"1422",6,4
"1423",12,3
"1424",12,1
"1425",7,4
"1426",5,4
"1427",8,3
"1428",6,3
"1429",5,4
"1430",3,0
"1431",9,2
"1432",7,1
"1433",11,4
"1434",10,4
"1435",6,2
"1436",1,0
"1437",12,7
"1438",6,4
"1439",4,0
"1440",10,1
"1441",7,5
"1442",12,3
"1443",1,0
"1444",6,0
"1445",7,5
"1446",8,6
"1447",8,0
"1448",2,1
"1449",7,5
"1450",5,3
"1451",12,5
"1452",11,4
"1453",3,0
"1454",1,0
"1455",5,3
"1456",6,0
"1457",12,3
"1458",7,6
"1459",4,0
"1460",7,1
"1461",9,0
"1462",1,0
"1463",2,1
"1464",5,2
"1465",10,4
"1466",4,3
"1467",10,7
"1468",10,0
"1469",7,2
"1470",10,9
"1471",2,0
"1472",1,0
"1473",10,4
"1474",12,5
"1475",6,1
"1476",2,0
"1477",9,1
"1478",4,2
"1479",3,0
"1480",5,0
"1481",12,4
"1482",12,0
"1483",9,8
"1484",5,2
"1485",9,0
"1486",8,2
"1487",5,1
"1488",7,6
"1489",6,2
"1490",8,6
"1491",12,8
"1492",2,0
"1493",5,4
"1494",7,3
"1495",9,2
"1496",3,1
"1497",1,0
"1498",10,8
"1499",2,1
"1500",4,1
"1501",11,8
"1502",10,6
"1503",12,10
"1504",5,3
"1505",3,0
"1506",3,2
"1507",11,3
"1508",11,4
"1509",11,10
"1510",7,5
"1511",1,0
"1512",10,2
"1513",10,1
"1514",10,7
"1515",3,0
"1516",1,0
"1517",7,1
"1518",10,7
"1519",8,4
"1520",7,5
"1521",4,1
"1522",3,2
"1523",9,4
"1524",3,0
"1525",3,2
"1526",12,3
"1527",6,2
"1528",8,1
"1529",5,0
"1530",5,0
"1531",6,5
"1532",3,0
"1533",10,2
"1534",3,2
"1535",12,11
"1536",12,8
"1537",3,1
"1538",1,0
"1539",11,8
"1540",6,1
"1541",2,1
"1542",7,4
"1543",4,2
"1544",1,0
"1545",10,7
"1546",4,1
"1547",5,3
"1548",9,1
"1549",12,8
"1550",11,10
"1551",9,7
"1552",9,0
"1553",10,4
"1554",11,3
"1555",10,4
"1556",3,0
"1557",5,4
"1558",2,0
"1559",5,4
"1560",3,2
"1561",3,1
"1562",4,0
"1563",8,0
"1564",5,3
"1565",10,5
"1566",4,2
"1567",11,2
"1568",1,0
"1569",3,0
"1570",6,0
"1571",2,1
"1572",10,8
"1573",11,3
"1574",8,1
"1575",11,3
"1576",12,6
"1577",3,2
"1578",2,1
"1579",8,0
"1580",11,1
"1581",7,1
"1582",9,7
"1583",4,2
"1584",10,5
"1585",1,0
"1586",4,2
"1587",10,7
"1588",1,0
"1589",5,3
"1590",2,0
"1591",6,3
"1592",8,7
"1593",4,1
"1594",9,5
"1595",10,7
"1596",2,0
"1597",5,2
"1598",6,3
"1599",5,4
"1600",12,2
"1601",6,2
"1602",10,7
"1603",5,0
"1604",11,10
"1605",12,6
"1606",12,0
"1607",6,3
"1608",5,0
"1609",12,10
"1610",10,2
"1611",3,1
"1612",4,3
"1613",6,1
"1614",12,2
"1615",6,0
"1616",2,0
"1617",7,5
"1618",4,0
"1619",7,2
"1620",1,0
"1621",6,5
"1622",4,3
"1623",3,1
"1624",4,1
"1625",8,5
"1626",2,0
"1627",4,3
"1628",12,1
"1629",2,0
"1630",11,7
"1631",6,1
"1632",3,2
"1633",6,4
"1634",9,3
"1635",9,1
"1636",10,6
"1637",9,3
"1638",11,4
"1639",6,1
"1640",1,0
"1641",2,1
"1642",10,8
"1643",2,0
"1644",6,0
"1645",11,6
"1646",12,9
"1647",4,0
"1648",6,0
"1649",2,1
"1650",4,3
"1651",3,2
"1652",4,2
"1653",3,1
"1654",2,1
"1655",6,4
"1656",1,0
"1657",8,6
"1658",4,0
"1659",3,1
"1660",12,6
"1661",12,4
"1662",5,0
"1663",4,1
"1664",4,3
"1665",1,0
"1666",9,0
"1667",4,3
"1668",3,2
"1669",1,0
"1670",5,3
"1671",11,9
"1672",3,1
"1673",9,7
"1674",7,3
"1675",7,6
"1676",10,6
"1677",12,1
"1678",8,2
"1679",7,4
"1680",8,5
"1681",6,0
"1682",12,10
"1683",10,8
"1684",11,0
"1685",9,7
"1686",9,5
"1687",4,2
"1688",5,2
"1689",1,0
"1690",3,1
"1691",8,5
"1692",3,1
"1693",3,1
"1694",7,3
"1695",9,5
"1696",6,1
"1697",1,0
"1698",11,0
"1699",2,1
"1700",1,0
"1701",3,2
"1702",11,9
"1703",1,0
"1704",1,0
"1705",1,0
"1706",3,1
"1707",7,4
"1708",4,3
"1709",4,2
"1710",10,3
"1711",6,4
"1712",9,4
"1713",10,6
"1714",5,3
"1715",4,2
"1716",8,1
"1717",1,0
"1718",7,5
"1719",4,1
"1720",4,1
"1721",12,1
"1722",7,3
"1723",3,2
"1724",4,2
"1725",4,3
"1726",5,3
"1727",7,5
"1728",12,11
"1729",3,0
"1730",5,2
"1731",6,3
"1732",3,2
"1733",5,1
"1734",10,6
"1735",4,1
"1736",12,11
"1737",12,7
"1738",6,5
"1739",5,0
"1740",3,2
"1741",5,2
"1742",4,0
"1743",1,0
"1744",8,2
"1745",9,8
"1746",6,0
"1747",1,0
"1748",10,4
"1749",11,5
"1750",3,2
"1751",6,5
"1752",11,9
"1753",7,3
"1754",12,8
"1755",1,0
"1756",9,3
"1757",10,1
"1758",10,9
"1759",3,1
"1760",10,4
"1761",8,5
"1762",4,3
"1763",5,0
"1764",3,0
"1765",10,1
"1766",8,4
"1767",7,0
"1768",9,3
"1769",9,7
"1770",2,1
"1771",1,0
"1772",6,0
"1773",3,0
"1774",4,1
"1775",10,5
"1776",4,0
"1777",1,0
"1778",2,0
"1779",2,0
"1780",2,1
"1781",7,6
"1782",8,4
"1783",3,0
"1784",6,1
"1785",12,8
"1786",1,0
"1787",2,0
"1788",3,0
"1789",5,3
"1790",6,1
"1791",4,0
"1792",12,10
"1793",9,5
"1794",1,0
"1795",11,5
"1796",9,4
"1797",5,3
"1798",2,1
"1799",4,0
"1800",2,1
"1801",4,3
"1802",11,6
"1803",10,1
"1804",11,6
"1805",8,0
"1806",7,0
"1807",2,1
"1808",4,2
"1809",4,0
"1810",8,1
"1811",10,1
"1812",3,1
"1813",7,2
"1814",11,6
"1815",1,0
"1816",9,6
"1817",7,1
"1818",2,1
"1819",9,6
"1820",3,0
"1821",4,3
"1822",11,5
"1823",1,0
"1824",2,1
"1825",6,1
"1826",4,2
"1827",5,3
"1828",6,1
"1829",1,0
"1830",5,1
"1831",9,2
"1832",4,3
"1833",2,0
"1834",4,3
"1835",2,0
"1836",4,3
"1837",3,1
"1838",2,0
"1839",3,1
"1840",4,1
"1841",11,5
"1842",3,2
"1843",8,4
"1844",2,1
"1845",6,2
"1846",9,8
"1847",8,6
"1848",2,1
"1849",4,2
"1850",2,1
"1851",7,1
"1852",8,7
"1853",8,5
"1854",2,1
"1855",7,5
"1856",2,1
"1857",9,0
"1858",4,1
"1859",2,0
"1860",6,1
"1861",2,0
"1862",11,10
"1863",5,4
"1864",1,0
"1865",11,0
"1866",10,9
"1867",8,2
"1868",3,0
