"LV.type","numberOfLaunches","numberOfFailures"
"535",3,1
"536",6,2
"537",4,0
"538",9,3
"539",4,2
"540",2,0
"541",2,0
"542",8,7
"543",8,3
"544",3,1
"545",3,2
"546",3,1
"547",5,3
"548",8,1
"549",12,1
"550",9,0
"551",11,6
"552",6,3
"553",8,6
"554",8,5
"555",6,0
"556",1,0
"557",10,5
"558",10,7
"559",4,0
"560",5,1
"561",10,6
"562",3,2
"563",12,11
"564",4,2
"565",3,2
"566",5,2
"567",5,0
"568",4,3
"569",6,5
"570",10,5
"571",7,4
"572",9,3
"573",1,0
"574",7,0
"575",2,1
"576",2,0
"577",5,3
"578",7,6
"579",1,0
"580",3,0
"581",11,0
"582",3,0
"583",10,9
"584",8,6
"585",12,6
"586",9,0
"587",7,1
"588",5,4
"589",12,9
"590",9,1
"591",8,5
"592",12,2
"593",3,0
"594",10,3
"595",2,1
"596",7,3
"597",6,4
"598",9,0
"599",4,3
"600",1,0
"601",1,0
"602",10,2
"603",7,1
"604",8,5
"605",12,6
"606",11,7
"607",1,0
"608",4,1
"609",9,1
"610",1,0
"611",10,6
"612",3,0
"613",4,3
"614",6,3
"615",12,8
"616",4,1
"617",12,10
"618",1,0
"619",5,1
"620",9,2
"621",1,0
"622",5,0
"623",1,0
"624",7,2
"625",8,6
"626",10,5
"627",5,4
"628",6,4
"629",6,1
"630",9,8
"631",7,6
"632",12,9
"633",5,0
"634",6,5
"635",12,9
"636",12,2
"637",1,0
"638",3,2
"639",8,5
"640",12,7
"641",3,0
"642",3,0
"643",9,0
"644",2,0
"645",2,1
"646",12,1
"647",1,0
"648",6,0
"649",2,0
"650",7,3
"651",8,1
"652",6,1
"653",8,5
"654",6,5
"655",4,1
"656",8,6
"657",11,4
"658",10,3
"659",7,1
"660",8,7
"661",3,1
"662",6,0
"663",5,4
"664",9,3
"665",10,0
"666",7,4
"667",8,6
"668",7,3
"669",7,2
"670",2,1
"671",1,0
"672",8,6
"673",6,5
"674",9,1
"675",6,0
"676",5,3
"677",5,4
"678",10,0
"679",7,6
"680",8,2
"681",11,6
"682",6,5
"683",8,3
"684",12,0
"685",2,1
"686",10,4
"687",3,1
"688",12,0
"689",11,5
"690",1,0
"691",12,8
"692",8,1
"693",7,5
"694",6,4
"695",4,3
"696",6,4
"697",8,2
"698",6,3
"699",11,4
"700",9,1
"701",12,2
"702",2,1
"703",1,0
"704",10,3
"705",5,2
"706",6,5
"707",2,0
"708",8,2
"709",8,2
"710",12,0
"711",6,5
"712",8,2
"713",8,2
"714",7,4
"715",6,5
"716",1,0
"717",9,6
"718",8,0
"719",6,4
"720",12,8
"721",7,2
"722",11,4
"723",11,6
"724",1,0
"725",6,2
"726",5,2
"727",11,1
"728",8,6
"729",2,1
"730",5,1
"731",11,5
"732",5,1
"733",1,0
"734",6,4
"735",3,2
"736",3,2
"737",6,1
"738",10,0
"739",6,2
"740",7,3
"741",3,2
"742",11,8
"743",7,2
"744",2,1
"745",8,7
"746",2,0
"747",4,0
"748",4,3
"749",5,0
"750",1,0
"751",4,1
"752",7,4
"753",8,5
"754",7,5
"755",4,2
"756",9,2
"757",11,8
"758",12,9
"759",7,5
"760",5,3
"761",3,1
"762",2,1
"763",11,3
"764",3,0
"765",11,5
"766",2,0
"767",1,0
"768",4,0
"769",4,2
"770",2,1
"771",4,1
"772",8,6
"773",11,4
"774",3,2
"775",5,2
"776",5,4
"777",8,6
"778",8,5
"779",3,0
"780",12,10
"781",10,8
"782",9,1
"783",4,2
"784",12,3
"785",10,4
"786",2,0
"787",6,2
"788",1,0
"789",3,0
"790",1,0
"791",7,3
"792",2,1
"793",9,4
"794",7,2
"795",12,4
"796",7,6
"797",11,4
"798",7,1
"799",5,2
"800",2,1
"801",9,0
"802",2,0
"803",11,8
"804",5,1
"805",1,0
"806",9,4
"807",1,0
"808",6,4
"809",2,0
"810",11,1
"811",5,1
"812",8,2
"813",10,9
"814",5,0
"815",8,0
"816",9,5
"817",1,0
"818",8,6
"819",9,6
"820",9,2
"821",10,0
"822",4,2
"823",4,2
"824",12,2
"825",9,5
"826",3,2
"827",3,1
"828",2,1
"829",12,0
"830",5,2
"831",9,3
"832",8,7
"833",5,0
"834",4,3
"835",4,3
"836",8,6
"837",6,4
"838",11,0
"839",2,1
"840",1,0
"841",11,3
"842",1,0
"843",5,0
"844",2,1
"845",8,1
"846",3,2
"847",1,0
"848",1,0
"849",9,5
"850",5,0
"851",12,5
"852",12,2
"853",3,2
"854",11,5
"855",6,1
"856",11,5
"857",10,7
"858",3,2
"859",9,4
"860",2,1
"861",2,0
"862",12,2
"863",2,1
"864",9,1
"865",7,2
"866",10,1
"867",9,6
"868",6,1
"869",3,2
"870",7,0
"871",3,1
"872",1,0
"873",7,6
"874",1,0
"875",8,3
"876",7,2
"877",2,1
"878",7,6
"879",12,5
"880",4,2
"881",2,0
"882",6,4
"883",10,3
"884",10,2
"885",1,0
"886",6,3
"887",7,5
"888",11,3
"889",1,0
"890",1,0
"891",5,3
"892",4,0
"893",11,10
"894",11,6
"895",10,9
"896",5,3
"897",1,0
"898",12,2
"899",10,2
"900",4,2
"901",12,9
"902",3,2
"903",6,5
"904",5,0
"905",7,3
"906",1,0
"907",6,2
"908",1,0
"909",9,0
"910",12,7
"911",5,4
"912",3,0
"913",1,0
"914",2,0
"915",2,1
"916",6,2
"917",6,4
"918",4,2
"919",9,7
"920",11,4
"921",5,3
"922",7,3
"923",7,4
"924",12,5
"925",9,1
"926",1,0
"927",1,0
"928",4,0
"929",10,4
"930",1,0
"931",6,5
"932",5,3
"933",7,1
"934",6,3
"935",11,9
"936",1,0
"937",11,3
"938",2,1
"939",4,0
"940",7,1
"941",3,0
"942",12,4
"943",8,3
"944",12,2
"945",9,6
"946",11,10
"947",5,0
"948",1,0
"949",1,0
"950",1,0
"951",11,9
"952",5,1
"953",6,1
"954",10,0
"955",1,0
"956",12,11
"957",9,7
"958",12,8
"959",12,5
"960",3,1
"961",2,0
"962",7,2
"963",4,3
"964",4,1
"965",5,2
"966",1,0
"967",5,3
"968",10,7
"969",1,0
"970",11,3
"971",12,9
"972",3,0
"973",9,6
"974",1,0
"975",1,0
"976",9,5
"977",1,0
"978",4,2
"979",7,1
"980",2,1
"981",11,6
"982",4,2
"983",6,1
"984",6,3
"985",5,2
"986",4,3
"987",8,0
"988",12,4
"989",4,2
"990",2,0
"991",11,5
"992",5,3
"993",2,0
"994",4,0
"995",4,3
"996",11,7
"997",5,1
"998",1,0
"999",9,8
"1000",6,3
"1001",4,0
"1002",9,8
"1003",6,3
"1004",5,2
"1005",10,4
"1006",2,1
"1007",11,1
"1008",3,1
"1009",4,0
"1010",7,2
"1011",6,4
"1012",1,0
"1013",4,2
"1014",12,2
"1015",10,6
"1016",10,5
"1017",8,0
"1018",10,3
"1019",9,7
"1020",5,3
"1021",3,2
"1022",10,4
"1023",5,4
"1024",9,4
"1025",1,0
"1026",12,5
"1027",2,1
"1028",3,1
"1029",8,0
"1030",5,2
"1031",11,6
"1032",2,1
"1033",11,6
"1034",9,7
"1035",10,8
"1036",5,1
"1037",7,4
"1038",4,1
"1039",10,7
"1040",11,2
"1041",4,1
"1042",6,4
"1043",10,7
"1044",5,4
"1045",5,3
"1046",5,4
"1047",7,5
"1048",5,1
"1049",2,1
"1050",6,5
"1051",2,1
"1052",8,2
"1053",1,0
"1054",3,1
"1055",1,0
"1056",8,1
"1057",12,11
"1058",2,0
"1059",3,2
"1060",5,4
"1061",10,6
"1062",8,6
"1063",11,2
"1064",5,3
"1065",4,2
"1066",12,9
"1067",8,4
"1068",7,2
"1069",3,2
"1070",8,5
"1071",3,2
"1072",3,1
"1073",4,3
"1074",1,0
"1075",10,1
"1076",10,8
"1077",2,0
"1078",8,1
"1079",11,2
"1080",10,2
"1081",8,2
"1082",5,1
"1083",2,0
"1084",10,6
"1085",2,1
"1086",3,0
"1087",2,1
"1088",5,0
"1089",8,2
"1090",7,1
"1091",8,1
"1092",10,5
"1093",1,0
"1094",12,4
"1095",8,6
"1096",6,4
"1097",11,4
"1098",11,8
"1099",8,5
"1100",12,3
"1101",9,0
"1102",4,1
"1103",4,1
"1104",9,2
"1105",2,0
"1106",10,2
"1107",12,0
"1108",10,9
"1109",10,7
"1110",5,4
"1111",2,1
"1112",7,1
"1113",5,4
"1114",4,1
"1115",2,0
"1116",2,1
"1117",3,0
"1118",8,2
"1119",9,3
"1120",12,3
"1121",6,2
"1122",5,1
"1123",1,0
"1124",11,1
"1125",7,5
"1126",4,0
"1127",11,1
"1128",6,5
"1129",5,3
"1130",5,3
"1131",5,0
"1132",12,5
"1133",11,9
"1134",7,5
"1135",7,4
"1136",4,3
"1137",10,6
"1138",6,0
"1139",11,2
"1140",2,0
"1141",1,0
"1142",9,2
"1143",10,6
"1144",4,1
"1145",8,1
"1146",12,4
"1147",7,3
"1148",7,3
"1149",1,0
"1150",6,1
"1151",4,2
"1152",3,1
"1153",5,1
"1154",3,0
"1155",4,1
"1156",3,2
"1157",8,7
"1158",2,0
"1159",1,0
"1160",4,0
"1161",9,8
"1162",12,11
"1163",4,2
"1164",7,4
"1165",2,0
"1166",3,0
"1167",7,6
"1168",1,0
"1169",1,0
"1170",10,8
"1171",5,4
"1172",6,2
"1173",12,7
"1174",5,1
"1175",6,4
"1176",12,8
"1177",4,1
"1178",11,3
"1179",11,1
"1180",6,2
"1181",3,0
"1182",11,7
"1183",6,0
"1184",4,3
"1185",10,8
"1186",5,0
"1187",5,3
"1188",8,7
"1189",4,0
"1190",7,3
"1191",12,8
"1192",4,1
"1193",3,0
"1194",8,7
"1195",6,1
"1196",8,7
"1197",10,0
"1198",9,7
"1199",5,0
"1200",8,4
"1201",2,1
"1202",11,4
"1203",10,0
"1204",11,3
"1205",5,4
"1206",3,2
"1207",5,4
"1208",11,7
"1209",12,2
"1210",12,3
"1211",11,2
"1212",12,7
"1213",9,0
"1214",5,1
"1215",9,8
"1216",8,7
"1217",8,2
"1218",4,2
"1219",2,0
"1220",1,0
"1221",1,0
"1222",9,0
"1223",10,4
"1224",9,2
"1225",5,1
"1226",8,5
"1227",8,3
"1228",9,0
"1229",6,5
"1230",9,2
"1231",6,1
"1232",5,4
"1233",9,4
"1234",11,8
"1235",9,1
"1236",5,0
"1237",9,2
"1238",2,0
"1239",11,3
"1240",7,6
"1241",8,7
"1242",10,3
"1243",11,1
"1244",2,0
"1245",9,8
"1246",4,3
"1247",12,7
"1248",6,2
"1249",10,5
"1250",10,6
"1251",9,7
"1252",9,2
"1253",6,1
"1254",5,1
"1255",9,0
"1256",8,5
"1257",1,0
"1258",8,4
"1259",7,6
"1260",9,2
"1261",11,2
"1262",2,0
"1263",3,0
"1264",5,0
"1265",8,1
"1266",2,0
"1267",6,3
"1268",8,7
"1269",2,0
"1270",12,2
"1271",5,4
"1272",6,2
"1273",12,1
"1274",12,10
"1275",4,1
"1276",6,2
"1277",12,3
"1278",11,9
"1279",8,6
"1280",5,0
"1281",11,5
"1282",1,0
"1283",2,1
"1284",5,3
"1285",10,0
"1286",2,1
"1287",11,2
"1288",3,0
"1289",3,0
"1290",6,1
"1291",9,6
"1292",4,3
"1293",9,4
"1294",8,7
"1295",11,4
"1296",1,0
"1297",7,2
"1298",6,0
"1299",5,0
"1300",11,6
"1301",12,5
"1302",6,4
"1303",4,1
"1304",8,3
"1305",1,0
"1306",1,0
"1307",3,1
"1308",12,0
"1309",2,0
"1310",8,7
"1311",2,1
"1312",6,4
"1313",11,9
"1314",9,2
"1315",6,2
"1316",12,0
"1317",1,0
"1318",8,5
"1319",8,0
"1320",12,9
"1321",3,1
"1322",3,2
"1323",1,0
"1324",6,2
"1325",10,7
"1326",8,0
"1327",6,5
"1328",9,3
"1329",2,1
"1330",9,7
"1331",10,1
"1332",10,4
"1333",6,5
"1334",3,1
"1335",10,5
"1336",10,8
"1337",4,2
"1338",1,0
"1339",4,1
"1340",12,0
"1341",1,0
"1342",12,4
"1343",7,2
"1344",11,6
"1345",12,8
"1346",9,7
"1347",11,1
"1348",6,5
"1349",8,2
"1350",11,7
"1351",9,4
"1352",6,0
"1353",8,3
"1354",10,1
"1355",9,8
"1356",6,2
"1357",2,0
"1358",12,3
"1359",8,3
"1360",6,3
"1361",10,6
"1362",10,4
"1363",4,1
"1364",6,1
"1365",6,5
"1366",7,5
"1367",2,0
"1368",8,7
"1369",12,10
"1370",11,4
"1371",3,0
"1372",3,0
"1373",12,0
"1374",8,6
"1375",2,0
"1376",10,4
"1377",3,0
"1378",8,4
"1379",10,7
"1380",7,4
"1381",6,5
"1382",10,9
"1383",12,5
"1384",3,0
"1385",12,1
"1386",4,1
"1387",11,3
"1388",11,2
"1389",2,0
"1390",5,3
"1391",10,4
"1392",12,3
"1393",3,1
"1394",8,0
"1395",7,5
"1396",12,4
"1397",12,10
"1398",1,0
"1399",11,2
"1400",10,8
"1401",9,2
"1402",11,6
"1403",1,0
"1404",6,4
"1405",8,0
"1406",4,0
"1407",12,7
"1408",12,4
"1409",1,0
"1410",11,7
"1411",12,6
"1412",8,4
"1413",2,0
"1414",1,0
"1415",4,2
"1416",6,0
"1417",9,4
"1418",2,0
"1419",2,1
"1420",3,1
"1421",3,0
"1422",8,3
"1423",5,3
"1424",6,4
"1425",10,1
"1426",1,0
"1427",10,4
"1428",3,0
"1429",9,6
"1430",9,1
"1431",3,0
"1432",4,1
"1433",6,3
"1434",12,8
"1435",9,2
"1436",2,1
"1437",9,8
"1438",4,3
"1439",6,5
"1440",8,5
"1441",4,2
"1442",9,8
"1443",12,0
"1444",6,4
"1445",12,8
"1446",6,1
"1447",7,1
"1448",6,5
"1449",1,0
"1450",1,0
"1451",12,11
"1452",4,2
"1453",5,1
"1454",5,0
"1455",5,3
"1456",6,1
"1457",5,2
"1458",1,0
"1459",4,0
"1460",6,5
"1461",3,2
"1462",6,5
"1463",10,4
"1464",6,3
"1465",2,0
"1466",4,2
"1467",7,4
"1468",6,4
"1469",7,2
"1470",3,1
"1471",7,0
"1472",5,0
"1473",11,7
"1474",7,4
"1475",4,3
"1476",5,4
"1477",1,0
"1478",1,0
"1479",4,2
"1480",1,0
"1481",7,6
"1482",1,0
"1483",6,3
"1484",2,0
"1485",9,2
"1486",1,0
"1487",9,8
"1488",6,3
"1489",6,4
"1490",2,1
"1491",12,6
"1492",1,0
"1493",8,4
"1494",2,0
"1495",7,6
"1496",1,0
"1497",4,3
"1498",7,1
"1499",4,1
"1500",3,1
