"","LV.type","numberOfLaunches","numberOfFailures"
"473","473",12,6
"474","474",1,0
"475","475",5,1
"476","476",1,0
"477","477",9,3
"478","478",4,2
"479","479",6,2
"480","480",1,0
"481","481",3,1
"482","482",8,7
"483","483",4,2
"484","484",4,1
"485","485",9,5
"486","486",3,0
"487","487",4,2
"488","488",4,1
"489","489",10,1
"490","490",5,4
"491","491",4,3
"492","492",9,1
"493","493",3,2
"494","494",9,1
"495","495",11,1
"496","496",12,1
"497","497",5,3
"498","498",3,1
"499","499",4,3
"500","500",3,1
