"LV.type","numberOfLaunches","numberOfFailures"
"157",11,3
"158",2,1
"159",7,0
"160",4,0
"161",6,5
"162",6,3
"163",2,1
"164",4,0
"165",10,6
"166",8,4
"167",10,8
"168",2,0
"169",2,1
"170",12,0
"171",7,2
"172",9,1
"173",7,2
"174",9,5
"175",11,3
"176",7,2
"177",5,4
"178",4,2
"179",7,6
"180",5,0
"181",2,1
"182",10,4
"183",6,0
"184",1,0
"185",6,3
"186",6,1
"187",2,0
"188",3,0
"189",10,7
"190",5,4
"191",6,2
"192",4,1
"193",6,0
"194",7,3
"195",6,4
"196",8,3
"197",5,4
"198",8,0
"199",6,4
"200",7,4
"201",8,6
"202",6,3
"203",12,2
"204",11,5
"205",4,3
"206",2,0
"207",5,4
"208",6,3
"209",1,0
"210",8,6
"211",2,0
"212",9,2
"213",9,6
"214",7,4
"215",4,1
"216",6,1
"217",12,2
"218",10,9
"219",12,0
"220",2,0
"221",3,2
"222",2,0
"223",3,1
"224",2,0
"225",7,6
"226",8,0
"227",8,2
"228",4,0
"229",10,1
"230",1,0
"231",5,3
"232",1,0
"233",11,6
"234",7,5
"235",6,1
"236",10,8
"237",6,4
"238",8,2
"239",11,10
"240",9,1
"241",2,0
"242",4,0
"243",4,1
"244",6,5
"245",2,0
"246",8,6
"247",7,3
"248",10,0
"249",7,0
"250",8,3
"251",4,3
"252",4,1
"253",2,0
"254",12,7
"255",12,10
"256",10,5
"257",11,4
"258",12,2
"259",3,1
"260",11,0
"261",6,1
"262",4,2
"263",4,1
"264",12,3
"265",2,0
"266",10,6
"267",9,2
"268",9,2
"269",7,2
"270",4,2
"271",6,0
"272",8,6
"273",9,0
"274",2,1
"275",7,4
"276",9,0
"277",4,0
"278",4,3
"279",8,3
"280",1,0
"281",6,3
"282",7,5
"283",6,2
"284",11,3
"285",1,0
"286",12,10
"287",1,0
"288",1,0
"289",4,2
"290",11,5
"291",10,7
"292",11,8
"293",3,0
"294",9,6
"295",10,6
"296",12,7
"297",9,2
"298",9,0
"299",6,4
"300",5,1
"301",10,5
"302",4,0
"303",9,1
"304",10,4
"305",5,4
"306",4,3
"307",11,8
"308",8,1
"309",6,3
"310",5,1
"311",7,1
"312",5,0
"313",6,4
"314",1,0
"315",9,7
"316",7,3
"317",10,8
"318",8,3
"319",3,0
"320",2,0
"321",5,1
"322",7,5
"323",3,0
"324",8,7
"325",6,4
"326",3,1
"327",8,3
"328",4,3
"329",12,1
"330",8,6
"331",12,10
"332",12,0
"333",1,0
"334",6,2
"335",6,1
"336",7,6
"337",8,0
"338",7,1
"339",3,0
"340",11,0
"341",9,7
"342",10,9
"343",1,0
"344",2,0
"345",10,1
"346",3,2
"347",1,0
"348",3,2
"349",10,7
"350",5,3
"351",2,1
"352",12,4
"353",11,3
"354",9,2
"355",9,1
"356",4,1
"357",7,4
"358",6,5
"359",12,9
"360",10,6
"361",3,0
"362",10,1
"363",5,3
"364",7,3
"365",8,2
"366",11,8
"367",1,0
"368",8,1
"369",9,4
"370",1,0
"371",12,7
"372",3,0
"373",8,4
"374",8,4
"375",5,4
"376",12,11
"377",7,5
"378",9,8
"379",11,1
"380",8,7
"381",9,6
"382",4,0
"383",6,0
"384",6,2
"385",7,4
"386",1,0
"387",7,2
"388",12,6
"389",6,2
"390",1,0
"391",4,2
"392",1,0
"393",6,0
"394",2,1
"395",10,2
"396",8,7
"397",4,2
"398",10,0
"399",1,0
"400",3,2
