"","LV.type","numberOfLaunches","numberOfFailures"
"151","151",1,0
"152","152",9,8
"153","153",10,0
"154","154",4,3
"155","155",2,1
"156","156",5,2
"157","157",3,2
"158","158",8,7
"159","159",3,2
"160","160",11,5
"161","161",5,0
"162","162",6,0
"163","163",7,5
"164","164",11,4
"165","165",10,1
"166","166",12,5
"167","167",11,4
"168","168",5,1
"169","169",7,6
"170","170",12,9
"171","171",5,1
"172","172",8,3
"173","173",7,1
"174","174",12,4
"175","175",6,2
"176","176",5,4
"177","177",3,1
"178","178",12,6
"179","179",3,2
"180","180",3,2
"181","181",2,0
"182","182",10,2
"183","183",7,1
"184","184",11,5
"185","185",3,0
"186","186",2,1
"187","187",6,2
"188","188",10,2
"189","189",10,8
"190","190",10,7
"191","191",12,10
"192","192",10,0
"193","193",8,5
"194","194",10,4
"195","195",3,2
"196","196",10,1
"197","197",10,5
"198","198",8,2
"199","199",1,0
"200","200",12,2
"201","201",9,0
"202","202",9,5
"203","203",9,0
"204","204",5,4
"205","205",7,0
"206","206",1,0
"207","207",8,0
"208","208",11,8
"209","209",12,9
"210","210",9,4
"211","211",11,7
"212","212",1,0
"213","213",12,6
"214","214",11,2
"215","215",2,1
"216","216",5,1
"217","217",11,5
"218","218",8,7
"219","219",8,6
"220","220",11,4
"221","221",11,6
"222","222",11,3
"223","223",9,5
"224","224",12,0
"225","225",1,0
"226","226",3,0
"227","227",10,5
"228","228",4,2
"229","229",10,1
"230","230",7,5
"231","231",12,1
"232","232",2,1
"233","233",1,0
"234","234",4,1
"235","235",7,6
"236","236",2,1
"237","237",10,4
"238","238",1,0
"239","239",7,6
"240","240",1,0
"241","241",11,6
"242","242",4,0
"243","243",12,9
"244","244",6,3
"245","245",12,0
"246","246",11,4
"247","247",11,10
"248","248",2,1
"249","249",11,2
"250","250",3,2
"251","251",11,2
"252","252",5,1
"253","253",3,0
"254","254",1,0
"255","255",2,0
"256","256",3,1
"257","257",12,2
"258","258",8,5
"259","259",6,3
"260","260",9,6
"261","261",2,1
"262","262",12,1
"263","263",8,4
"264","264",11,8
"265","265",8,3
"266","266",8,6
"267","267",6,0
"268","268",9,7
"269","269",8,5
"270","270",2,0
"271","271",5,4
"272","272",3,0
"273","273",9,8
"274","274",10,9
"275","275",11,4
"276","276",2,1
"277","277",2,1
"278","278",4,0
"279","279",11,5
"280","280",10,7
"281","281",10,7
"282","282",11,3
"283","283",3,1
"284","284",8,0
"285","285",4,1
"286","286",5,2
"287","287",9,3
"288","288",12,3
"289","289",8,7
"290","290",3,2
"291","291",8,5
"292","292",2,1
"293","293",9,6
"294","294",3,2
"295","295",11,7
"296","296",6,2
"297","297",4,3
"298","298",9,3
"299","299",12,2
"300","300",7,4
"301","301",2,1
"302","302",2,1
"303","303",3,1
"304","304",9,3
"305","305",6,0
"306","306",11,7
"307","307",12,5
"308","308",2,1
"309","309",1,0
"310","310",2,0
"311","311",7,3
"312","312",5,2
"313","313",5,4
"314","314",7,3
"315","315",12,6
"316","316",9,1
"317","317",6,4
"318","318",2,0
"319","319",2,0
"320","320",8,2
"321","321",2,1
"322","322",8,4
"323","323",6,5
"324","324",8,1
"325","325",2,1
"326","326",2,0
"327","327",11,10
"328","328",8,4
"329","329",5,0
"330","330",2,0
"331","331",5,2
"332","332",6,4
"333","333",2,1
"334","334",8,2
"335","335",7,1
"336","336",4,2
"337","337",12,7
"338","338",6,1
"339","339",8,7
"340","340",9,5
"341","341",6,1
"342","342",9,0
"343","343",8,7
"344","344",5,3
"345","345",3,0
"346","346",11,8
"347","347",9,0
"348","348",7,1
"349","349",10,8
"350","350",1,0
"351","351",6,4
"352","352",2,1
"353","353",9,7
"354","354",9,2
"355","355",6,0
"356","356",10,5
"357","357",9,0
"358","358",9,1
"359","359",3,1
"360","360",4,2
"361","361",8,6
"362","362",2,1
"363","363",12,4
"364","364",10,7
"365","365",12,8
"366","366",5,4
"367","367",10,8
"368","368",11,1
"369","369",10,3
"370","370",2,0
"371","371",4,1
"372","372",2,1
"373","373",11,0
"374","374",4,3
"375","375",11,9
"376","376",5,0
"377","377",6,5
"378","378",11,9
"379","379",8,3
"380","380",4,0
"381","381",2,0
"382","382",5,0
"383","383",9,4
"384","384",6,5
"385","385",12,2
"386","386",3,0
"387","387",1,0
"388","388",11,1
"389","389",12,5
"390","390",10,8
"391","391",6,0
"392","392",1,0
"393","393",10,1
"394","394",7,4
"395","395",12,10
"396","396",11,2
"397","397",4,0
"398","398",6,4
"399","399",2,0
"400","400",6,0
